"Allergens  Menu Items                                                                                                   Salt located on tables contain Salt, Dextrose, Potassium Iodide, Sodium Bicarbonate, Yellow Prussiate of Soda.  Salt used in kitchen is  Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda].   Mycoprotein is a old.(member of the fungi family. There have been rare cases of allergic reactin to products that contain Mycoprotein. Quorn™ is a Mycoprotein produced using a fermentation process very similar to brewing; the solid is harvested as opposed to the liquid. Processed in a facility that handles milk.                                     ",,Egg,Fish/ Shellfish,"Nitrites, Nitrate, Sodium Erythrobate, Carrageenan ",Corn in original form,"Corn Syrup, Corn Flour or meal, Corn Starch",Corn oil,Corn Variations,Vinegar,Milk/Dairy,MSG,Soybean  Oil,Soy Lecithin,Soy,Tree Nuts/Peanuts,Peanut oil,Capers,Sesame,"Wheat, Barley, Rye, Oats","Lima,lentil, Fava,                   black eyed peas,             garbanzo beans ",Mushroom, Yeast or Spice Extract ,Hydrolyzed Protein,Yeast,Nonorganic Cane Sugar,White Rice,Brown Rice,White Potato all forms,Mint,Cinnamon,Fruit,Cucumber,Tomato,Natural Flavor,Sunflower oil,Sunflower Lecithin,Sunflower Seed,Garlic,Onion,Bell Pepper,Turmeric,Mustard,Cocoa or Chocolate,Red Dye,Yellow Dye,Alcohol,Pork,Chicken,Beef,Turkey,Phenylketonurics,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,
         Allergy Alerts                                                                                                                                                                                                                                      All deep fried items have cross contact risk                                                                    (All pasta has possible cross-contact w/eggs in manufacture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]used in all areas.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desserts available on purple Cart in Home area for Gluten Free and Top 8 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sizzle%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Taco Shells and Bowls are Fried. All fried items have Cross contact with other allergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Casa Del Sol%,,,,,,All Fried Items fried in same fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Nuggets,,,,,,X,,X,,,,X,,,,,,,X,,,yeast,,,X,X,,,,,citric acid,,,X,,,,X,X,,,,,,,beer,,X,,,,"Patuxent Farms Beer Battered Chicken Chunks [Chicken. Contains Up To 15% of a Solution of Water, Salt, and Sodium Phosphates. Battered With: Water, Batter (Wheat Flour, Modified Corn Starch, Yellow Corn Flour, Salt, Rice Flour, Dextrose, Leavening [Sodium Acid Pyrophosphate, Sodium Bicarbonate}, Yeast Extract, Garlic Powder, Natural Flavor, and Maltodextrin), Beer (Water, Malt Barley, Rice, and Hops), Salt. Breaded With: Bleached Wheat Flour, Salt, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate), Sugar, Yeast Extract, Modified Corn Starch, Garlic Powder, Onion Powder, Soybean Oil (As A Processing Aid), Natural Flavor, and Maltodextrin. Breading Set in Vegetable Oil.], Harvest Value Liquid Canola Oil [Canola Oil with TBHQ to help protect flavor. Dimethylpolysiloxane, an antifoaming agent, added.]. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Monday: Honey Sriracha ,,,,,,,,X,distilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,"[Tabasco Sriracha Sauce [Red Jalapeno Pepper, Water, Sugar, Salt, Garlic, Distilled Vinegar, Xanthan Gum and Tabasco Brand Pepper Sauce (Distilled Vinegar, Red Pepper and Salt).]",,,,,,,,,,,,,,,,,,,,,,,,
Tuesday: Sweet & Sour ,,,,,,X,,X,distilled,,,X,,,,,,,,,,,,,X,,,,,,pineapple,,X,X,,,,,X,,,,,,,,,,,,,"Asian Menu Sweet and Sour Sauce [Liquid Sugar, Water, Sugar, Vinegar, Brown Sugar, Pineapple Juice, Ketchup (Tomatoes, Vinegar, Corn Sweetener, Salt, Onion Powder, Spice, Natural Flavoring), Soybean Oil, Propylene Glycol Alginate, Xanthan Gum, less than 0.1% Sodium Benzoate and Potassium Sorbate added as preservatives.]. Contain: Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Wednesday: Teriyaki ,,,,,,X,,X,distilled,,,,,X,,,,,X,,,,,,X,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,"Teriyaki [Kikkoman Teriyaki Sauce/Glaze [Soy Sauce (Water, Soybeans, Wheat, Salt), Sugar, Water, Modified Corn Starch, Onion Juice, Vinegar, Natural Flavour, Garlic Powder, Malic Acid, Spice, Sodium Benzoate: Less Than ⅒ of 1% as a Preservative, Disodium Inosinate, Disodium Guanylate.]. Contain: Wheat, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Thursday: General Tso,,,,,,,,,distilled,,,X,,X,,,,,X,,,,,,,,,X,,,,,X,,,,,X,X,,,,,,,,,,,,,"General Tso [General Tso Sauce [Sugar, Water, Soy Sauce (Soybeans, Wheat, Water, Salt), Vinegar, Garlic Juice (Garlic Juice, Salt), Ketchup (Tomato Concentrate, Distilled Vinegar, Sugar, Salt, Onion Powder, Spices, Natural Flavoring), Soybean Oil, Garlic, Xanthan Gum, Spice, Natural Preservative Contains Soy, Wheat]. Contains Wheat, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Friday: Orange Ginger,,,,,,,,X,distilled,,,X,,X,,,,,X,,,,,,,,,,,,orange,,,,,,,,,,,,,,,,,,,,,"Orange Ginger [Asian Menu Orange Ginger Glaze/Sauce [Sugar, Water, Vinegar, Soy Sauce (Water, Wheat, Soybeans, Salt), Ginger, Soybean Oil, Orange Peel, Xanthan Gum, Spice, Natural Preservative]. Contains Wheat, Soy ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesame Garlic Beef,,,,,,X,,X,distilled,,,X,,X,,,,X,X,,,both,,,X,,,,,,"Lemon, lime, citric acid",,,X,,,,X,X,,,,,,,,,,X,,,"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant], Cattleman’s Selection Inside Skirt Strip Beef [Contains up to 15% added Solution of Water, Seasoning (Modified Food Starch, Salt, Spices, Vinegar, Grilled Flavor, Maltodextrin, Sodium Phosphates, Dextrose, Lime Juice Powder, Garlic Powder, Onion Powder, Spice Extract, Citric Acid, Smoke Flavor, Lemon Juice Powder, Xanthan Gum, Yeast Extract, Natural Flavors), Dextrose, Salt, and Bromelain. Smoke Flavor Added.], Asian Menu Garlic Sesame Sauce [Soy Sauce (Water, Wheat, Soybeans, Salt), Sugar, Water, Distilled Vinegar, Roasted Sesame Seed Oil. Contains: Wheat, Soy, Sesame",,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef with Stir Fry Sauce,,,,,,X,,,distilled,,,,,,,,,,,,,both,,,,,,,,,"Lemon, Lime, citric acid",,,X,,,,X,X,,,,,,,,,,X,,,"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant], Cattleman’s Selection Inside Skirt Strip Beef [Contains up to 15% added Solution of Water, Seasoning (Modified Food Starch, Salt, Spices, Vinegar, Grilled Flavor, Maltodextrin, Sodium Phosphates, Dextrose, Lime Juice Powder, Garlic Powder, Onion Powder, Spice Extract, Citric Acid, Smoke Flavor, Lemon Juice Powder, Xanthan Gum, Yeast Extract, Natural Flavors), Dextrose, Salt, and Bromelain. Smoke Flavor Added.], Asian Menu Stir-Fry Sauce [Soy Sauce (Water, Wheat, Soybeans, Salt), Sugar, Water, Onions, Corn Starch, Xanthan Gum, Citric Acid, Garlic Puree (Dehydrated Garlic, Water)]. Contains: Wheat, Soy ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian Beef,,,,,,X,,X,distilled ,,,X,,X,,,,,X,,X,yeast,,,X,X,,,,,"lime, citric acid, plum",,X,X,,X,,X,X,X,,,,,,X,,,X,,,"Beef {Cattleman’s Selection Inside Skirt Strip Beef [Contains up to 15% added Solution of Water, Seasoning (Modified Food Starch, Salt, Spices, Vinegar, Grilled Flavor, Maltodextrin, Sodium Phosphates, Dextrose, Lime Juice Powder, Garlic Powder, Onion Powder, Spice Extract, Citric Acid, Smoke Flavor, Lemon Juice Powder, Xanthan Gum, Yeast Extract, Natural Flavors), Dextrose. Salt, and Bromelain. Smoke Flavor Added.]}, Marinade {Asian Menu General Tso Sauce [Sugar, Water, Soy Sauce (Soybeans, Wheat, Water, Salt), Vinegar, Garlic Juice (Garlic Juice, Salt), Ketchup (Tomato Concentrate, Distilled Vinegar, Sugar, Salt, Onion Powder, Spices, Natural Flavoring), Soybean Oil, Garlic, Xanthan Gum, Spice, Natural Preservative. Contains Soy, Wheat]. Kikkoman Hoisin Sauce [Sugar, Water, Miso (Water, Soybeans, Rice, Salt, Alcohol), Plum Puree, Soy Sauce, (Water, Soybeans, Wheat, Salt), Garlic, Vinegar, Caramel Color, Modified Corn Starch, Salt, Spices, Sodium Benzoate as a Preservative, Xanthan Gum, Citric Acid]}, Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.], Yellow Onion, Red Bell Pepper, White Button Mushrooms. Contains: Soy, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Mango Chicken,,,,X,,X,,X,,X,,,,X,,,,,,,,,"corn, soy",,X,,,X,,,"mango, citric acid",,,,,,,X,X,X,X,,,,,,,X,,,,"Sauce {Granulated Garlic, Ground Ginger, Monarch Granulated White Cane Sugar, Argo Corn Starch, La Choy Soy Sauce (Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Color, Potassium Sorbate (Preservative). Contains: Soy.), Water, Molly's Kitchen Chicken Base [Roasted Chicken, Salt, Hydrolyzed Corn Protein, Sugar, Chicken Fat, Flavorings, Corn Syrup Solids, Disodium Inosinate, Disodium Guanylate, Extractive of Turmeric and Annatto (Color), Sodium Caseinate (Milk), Carrageenan. Contains Milk], Broccoli, Pacific Jade Sliced Water Chestnuts [Water Chestnuts, Water and Citric Acid], Green and Yellow Bell Pepper, Red Onion, Lawry’s Garlic Pepper Seasoning w/Bell Pepper [Garlic, Salt, Black Pepper, Brown Sugar, Onion, Red Bell Peppers, Parsley, and Garlic Oil.], Tyson Red Label Seasoned Cooked Grilled Chicken Breast Strip {Boneless, Skinless Chicken Breast Strips with Rib Meat, Water, Seasoning [Maltodextrin, Salt, Sugar, Flavors, Vegetable Stock (Carrot, Onion, Celery), Carrot Powder, Garlic Powder], Modified Potato Starch, Sodium Phosphates, Modified Food Starch, Salt.}, Cross Valley Farms Diced Mango [Mango, Water, Sugar*, Citric Acid (to maintain flavor; does not act as a preservative) *Sugar added only to keep fruit sugar at natural levels],  Contains: Milk, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Asian Sauteed Mushrooms,,,,,,X,,X,,X,,X,,X,,,,,,,X,,,,,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,"White Button Mushrooms, Roseli Canola/Extra Virgin Olive Oil, Glenview Farms Unsalted Butter [Pasteurized Cream (Milk), Natural Flavorings. Contains: Milk.], Tulkoff Food Products chopped Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid Preservative. Contains: Naturally Occurring Sulfites], Dried Oregano, Dried Parsley, Yellow Onion, Green Onion, Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda], Black Pepper, La Choy Soy Sauce (Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Color, Potassium Sorbate (Preservative). Contains: Soy.). Contains: Milk, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Tso Beef ,,,,,X,X,,X,distilled,,,X,,X,,,,,X,,,both,,,X,,,,,,"lime, citric acid, lemon",,X,X,,,,X,X,X,,,,,,,,,X,,,"Cattleman’s Selection Inside Skirt Strip Beef [Contains up to 15% added Solution of Water, Seasoning (Modified Food Starch, Salt, Spices, Vinegar, Grilled Flavor, Maltodextrin, Sodium Phosphates, Dextrose, Lime Juice Powder, Garlic Powder, Onion Powder, Spice Extract, Citric Acid, Smoke Flavor, Lemon Juice Powder, Xanthan Gum, Yeast Extract, Natural Flavors), Dextrose. Salt, and Bromelain. Smoke Flavor Added.], Pacific Jade Whole Baby Corn [Baby Corn, Water, Salt, Ascorbic Acid (Vitamin C) and Citric Acid.], White Button Mushrooms, Green and Red Bell Pepper, Yellow Onion, Lawry’s Garlic Pepper Seasoning w/Bell Pepper [Garlic, Salt, Black Pepper, Brown Sugar, Onion, Red Bell Peppers, Parsley, and Garlic Oil.], General Tso Sauce [Sugar, Water, Soy Sauce (Soybeans, Wheat, Water, Salt), Vinegar, Garlic Juice (Garlic Juice, Salt), Ketchup (Tomato Concentrate, Distilled Vinegar, Sugar, Salt, Onion Powder, Spices, Natural Flavoring), Soybean Oil, Garlic, Xanthan Gum, Spice, Natural Preservative Contains Soy, Wheat]. Contains Wheat, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Chicken ,,,,,,X,,X,distilled,,,X,,,,,,,,,,,,,X,,,X,,,"pineapple, citric acid",,X,,,,,X,X,X,,,,FD&C Red #40 ,FD&C #5 and#6,,,X,,,,"Tyson Red Label Seasoned Cooked Grilled Chicken Breast Strip {Boneless, Skinless Chicken Breast Strips with Rib Meat, Water, Seasoning [Maltodextrin, Salt, Sugar, Flavors, Vegetable Stock (Carrot, Onion, Celery), Carrot Powder, Garlic Powder], Modified Potato Starch, Sodium Phosphates, Modified Food Starch, Salt.}, Yellow Onion, Green and Red Bell Pepper, Dole Pineapple Tidbits in Juice [Pineapple, Pineapple Juice, Clarified Pineapple Juice from Concentrate Water, Clarified Pineapple Juice Concentrate, and Citric Acid], Lawry’s Garlic Pepper Seasoning w/Bell Pepper [Garlic, Salt, Black Pepper, Brown Sugar, Onion, Red Bell Peppers, Parsley, and Garlic Oil.], Asian Menu Sweet and Sour Sauce [Liquid Sugar, Water, Sugar, Vinegar, Brown Sugar, Pineapple Juice, Ketchup (Tomatoes, Vinegar, Corn Sweetener, Salt, Onion Powder, Spice, Natural Flavoring), Soybean Oil, Propylene Glycol Alginate, Xanthan Gum, FD&C Red #40 Coloring, less than 0.1% Sodium Benzoate and Potassium Sorbate added as preservatives and FD&C Yellow #5 & #6 Coloring.]. Contains: Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Lo Mein (pasta Manufactured in A Facility That Uses Eggs),,,,,,X,,X,,,,X,,X,,,,X,X,,,,soy,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,"Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.], Spinach, Cross Valley Farms Coleslaw Mix (Shredded Green Cabbage with Shredded Red Cabbage and Shred Carrots Packed Separately.), Cross Valley Farms Matchstick Carrot Shreds (Carrots), Celery, Yellow Onion, Harvest Value Spaghetti [Durum Wheat Semolina, Durum Wheat Flour, Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid) Contains: Wheat.  Manufactured in A Facility That Uses Eggs], Monarch Granulated Garlic, Ground Ginger, La Choy Soy Sauce [Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Color, Potassium Sorbate (Preservative). Contains: Soy.], Spectrum Naturals Sesame Oil [Sesame Seed Oil (100%)]. Contains Wheat, Soy, Sesame ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Broccoli ,,,,,,X,,X,distilled,,,X,,,,,,,,,,both,,,X,,,,,,"lime, lemon, citric acid",,,X,,X,,X,X,X,,,,,,,,,X,,,"Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.], Cattleman’s Selection Inside Skirt Strip Beef [Contains up to 15% added Solution of Water, Seasoning (Modified Food Starch, Salt, Spices, Vinegar, Grilled Flavor, Maltodextrin, Sodium Phosphates, Dextrose, Lime Juice Powder, Garlic Powder, Onion Powder, Spice Extract, Citric Acid, Smoke Flavor, Lemon Juice Powder, Xanthan Gum, Yeast Extract, Natural Flavors), Dextrose. Salt, and Bromelain. Smoke Flavor Added.], Broccoli, Yellow Onions, Lawry’s Garlic Pepper Seasoning w/Bell Pepper [Garlic, Salt, Black Pepper, Brown Sugar, Onion, Red Bell Peppers, Parsley, and Garlic Oil.], Asian Menu Stir-Fry Sauce [Soy Sauce (Water, Wheat, Soybeans, Salt), Sugar, Water, Onions, Corn Starch, Xanthan Gum, Citric Acid, Garlic Puree (Dehydrated Garlic, Water)]. Contains: Wheat, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Lo Mein (Pasta manufactured in a facility that uses eggs),,,shrimp,,,X,,X,,,,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,"Harbor Banks 31-40 White Peeled and Deveined Shrimp [Shrimp, Water, Sodium Phosphates (to retain moisture), Salt], Cross Valley Farm Coleslaw Mix (Green Cabbage, Red Cabbage, Carrot), Yellow Onion, Carrots, Red Bell Peppers, Harvest Value Spaghetti [Durum Wheat Semolina, Durum Wheat Flour, Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid Contains: Wheat Manufactured in a facility that uses eggs], La Choy Soy Sauce (Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Color, Potassium Sorbate (Preservative). Contains: Soy.), Lawry’s Garlic Pepper Seasoning w/Bell Pepper [Garlic, Salt, Black Pepper, Brown Sugar, Onion, Red Bell Peppers, Parsley, and Garlic Oil.]. Contains: Shellfish (shrimp), Wheat, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Stir Fry,,,,,X,,,,,,,X,,,,,,,,,X,,,,X,,,,,,citric acid,,,X,,X,,X,X,X,,,,,,,,,,,,"Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.], Yellow Onion, Green & Red Bell Pepper, Broccoli, Button Mushrooms, Carrots, Pacific Jade Whole Baby Corn [Baby Corn, Water, Salt, Ascorbic Acid (Vitamin C) and Citric Acid.], Zucchini, Yellow Squash, Cauliflower, Lawry’s Garlic Pepper Seasoning w/Bell Pepper [Garlic, Salt, Black Pepper, Brown Sugar, Onion, Red Bell Peppers, Parsley, and Garlic Oil.]. Contains: Soy Lecithin, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make your own Stir-fry When served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roseli Canola/Extra Virgin Olive Oil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roseli Canola/Extra Virgin Olive Oil ,,,,,,,,,,,,,,,,,,,,,,,,
Butter Alternate ,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,"Phase Soybean Butter Alternative [Liquid and Hydrogenated Soybean Oil, contains less than 2% of: Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene Color.]. ",,,,,,,,,,,,,,,,,,,,,,,,
Sesame Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Del Destino Roasted Sesame Oil,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp,,,shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harbor Banks White Tail-on Peeled and Deveined Shrimp [Shrimp, Water, Sodium Phosphates (to retain moisture), Salt]. Contains: Shrimp",,,,,,,,,,,,,,,,,,,,,,,,
Beef Steak Skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,"John Soules Foods Seasoned Beef Inside Skirt [Beef, Solution {Water, Seasoning (Salt, Spice, Onion Powder, Garlic Powder, Bromelain), Sodium Phosphate], ",,,,,,,,,,,,,,,,,,,,,,,,
Chicken Strips,,,,,,X,,X,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,X,,,,,,,,,X,,,,"Tyson Red Label Seasoned Cooked Grilled Chicken Breast Strip {Boneless, Skinless Chicken Breast Strips with Rib Meat, Water, Seasoning [Maltodextrin, Salt, Sugar, Flavors, Vegetable Stock (Carrot, Onion, Celery), Carrot Powder, Garlic Powder], Modified Potato Starch, Sodium Phosphates, Modified Food Starch, Salt.}",,,,,,,,,,,,,,,,,,,,,,,,
Pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Roland Pad Thai Rice Stick Noodles [Rice Flour], Water",,,,,,,,,,,,,,,,,,,,,,,,
Udon Noodle,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amoy Udon Noodle [Wheat Flour, Water, Salt, Soybean Oil], Water. Contains: Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broccoli,,,,,,,,,,,,,,,,,,,,,,,,
Baby Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pacific Jade Whole Baby Corn [Baby Corn, Water, Salt, Ascorbic Acid (Vitamin C) And Citric Acid.],",,,,,,,,,,,,,,,,,,,,,,,,
Carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Valley Farms Matchstick Carrot Shreds (Carrots),,,,,,,,,,,,,,,,,,,,,,,,
Spinach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach,,,,,,,,,,,,,,,,,,,,,,,,
White Button Mushrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Button Mushrooms,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Onion,,,,,,,,,,,,,,,,,,,,,,,,
Green Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Pepper,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Tidbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pineapple, citric acid",,,,,,,,,,,,,,,,,,,,,"Dole Pineapple Tidbits in Juice [Pineapple, Pineapple Juice, Clarified Pineapple Juice from Concentrate Water, Clarified Pineapple Juice Concentrate, and Citric Acid],",,,,,,,,,,,,,,,,,,,,,,,,
Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushed Red Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Pepper Flakes ,,,,,,,,,,,,,,,,,,,,,,,,
Chopped Garlic,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Tulkoff Food Products chopped Garlic in Oil [Garlic, Water, Soybean Oil, Phosphoric Acid Preservative. Contains: Naturally Occurring Sulfites] Contains: Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Sauces:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
